工號,姓名,部門,email
12356,任孝鳳,行銷部,changwanhshing@gmail.com
45796,鄧欣森,法務部,changwanhshing@gmail.com
42865,徐晨鳳,倉儲部,changwanhshing@gmail.com
40961,徐雯豪,採購部,changwanhshing@gmail.com
98745,程志敏,品管部,changwanhshing@gmail.com
42033,曾俊雄,稽核部,changwanhshing@gmail.com
81628,曾秀森,研發部,changwanhshing@gmail.com
55309,何秋森,行銷部,changwanhshing@gmail.com
75969,李宜勇,業務部,changwanhshing@gmail.com
16209,陳冬靜,研發部,changwanhshing@gmail.com
35563,王大明,資訊部,changwanhshing@gmail.com
36344,彭春森,客服部,changwanhshing@gmail.com
22315,江文林,採購部,changwanhshing@gmail.com
55608,曾佳芳,法務部,changwanhshing@gmail.com
77824,徐仁玲,業務部,changwanhshing@gmail.com
31526,許秋娟,客服部,changwanhshing@gmail.com
32438,黃夏淵,行銷部,changwanhshing@gmail.com
51210,蔣信林,人事部,changwanhshing@gmail.com
63598,鄧桂宇,客服部,changwanhshing@gmail.com
36629,彭孝達,生產部,changwanhshing@gmail.com
94339,程雅強,研發部,changwanhshing@gmail.com
48441,朱惠明,稽核部,changwanhshing@gmail.com
33072,孫信超,財務部,changwanhshing@gmail.com
46313,林建森,客服部,changwanhshing@gmail.com
20046,程淑文,資訊部,changwanhshing@gmail.com
17508,林慧浩,品管部,changwanhshing@gmail.com
86517,黃國雄,倉儲部,changwanhshing@gmail.com
32733,蘇秀云,企劃部,changwanhshing@gmail.com
32652,韓信文,財務部,changwanhshing@gmail.com
61855,吳禮秀,業務部,changwanhshing@gmail.com
53314,彭大昇,生產部,changwanhshing@gmail.com
41945,黃偉明,資訊部,changwanhshing@gmail.com
94107,曾桂敏,稽核部,changwanhshing@gmail.com
63334,楊晴賢,總務部,changwanhshing@gmail.com
69119,許欣敏,人事部,changwanhshing@gmail.com
43553,周晨鳳,人事部,changwanhshing@gmail.com
31150,楊俊淵,研發部,changwanhshing@gmail.com
44992,曹佳秀,稽核部,changwanhshing@gmail.com
56387,郭建毅,採購部,changwanhshing@gmail.com
62521,唐義傑,採購部,changwanhshing@gmail.com
10322,蘇忠玲,財務部,changwanhshing@gmail.com
25597,林晨毅,採購部,changwanhshing@gmail.com
33965,唐景浩,採購部,changwanhshing@gmail.com
48855,馬俊達,財務部,changwanhshing@gmail.com
88899,羅淑燕,稽核部,changwanhshing@gmail.com
77712,蔡秋燕,資訊部,changwanhshing@gmail.com
56337,唐明鳳,法務部,changwanhshing@gmail.com
87799,馮義靜,客服部,changwanhshing@gmail.com
44745,趙嘉偉,生產部,changwanhshing@gmail.com
20937,林俊玲,資訊部,changwanhshing@gmail.com
79936,周義文,法務部,changwanhshing@gmail.com
97786,蔡俊麗,生產部,changwanhshing@gmail.com
15894,鄭旭鳳,倉儲部,changwanhshing@gmail.com
74480,田秀傑,業務部,changwanhshing@gmail.com
46356,周冬勇,研發部,changwanhshing@gmail.com
52875,唐惠勇,倉儲部,changwanhshing@gmail.com
31312,田昊浩,財務部,changwanhshing@gmail.com
60584,吳仁玲,資訊部,changwanhshing@gmail.com
97132,袁志賢,人事部,changwanhshing@gmail.com
27723,唐旭云,法務部,changwanhshing@gmail.com
18941,魏春翔,行銷部,changwanhshing@gmail.com
31810,黃欣軍,業務部,changwanhshing@gmail.com
89020,楊義雄,生產部,changwanhshing@gmail.com
16002,呂大毅,人事部,changwanhshing@gmail.com
53354,唐義燕,研發部,changwanhshing@gmail.com
69780,馮義棟,行銷部,changwanhshing@gmail.com
12786,徐旭秀,研發部,changwanhshing@gmail.com
49654,陳信煌,研發部,changwanhshing@gmail.com
28046,曹秋毅,業務部,changwanhshing@gmail.com
75355,胡惠淵,企劃部,changwanhshing@gmail.com
30559,吳麗明,資訊部,changwanhshing@gmail.com
50528,曹秋輝,法務部,changwanhshing@gmail.com
37586,宋義宇,生產部,changwanhshing@gmail.com
79918,吳禮森,資訊部,changwanhshing@gmail.com
69421,馮忠明,採購部,changwanhshing@gmail.com
77283,丁大燕,企劃部,changwanhshing@gmail.com
96262,李麗秀,法務部,changwanhshing@gmail.com
44637,陳晴樺,財務部,changwanhshing@gmail.com
40445,袁昊洋,人事部,changwanhshing@gmail.com
83389,蔣孝明,稽核部,changwanhshing@gmail.com
96511,蘇信云,品管部,changwanhshing@gmail.com
61603,董建宇,採購部,changwanhshing@gmail.com
63719,吳欣棟,財務部,changwanhshing@gmail.com
67045,胡偉豪,行銷部,changwanhshing@gmail.com
10566,徐麗麗,業務部,changwanhshing@gmail.com
45001,羅家博,法務部,changwanhshing@gmail.com
89981,胡惠雄,品管部,changwanhshing@gmail.com
33871,孫麗云,客服部,changwanhshing@gmail.com
39897,丁美浩,倉儲部,changwanhshing@gmail.com
83128,林慧浩,生產部,changwanhshing@gmail.com
63717,張禮云,總務部,changwanhshing@gmail.com
93338,潘景洋,客服部,changwanhshing@gmail.com
82083,劉冬強,資訊部,changwanhshing@gmail.com
